Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2020-01-01,78.8495864868164,79.01091442517412,76.73213746562567,76.85313752220343,13620373
1,2020-01-02,78.68827056884766,79.33358793613205,78.38577856578439,78.86976795885114,5673692
2,2020-01-03,77.8412857055664,78.56726421627708,77.13546566680184,78.34543896867466,7358268
3,2020-01-06,77.8816146850586,78.22444000287386,75.82466824858002,77.43796418361738,7355290
4,2020-01-07,77.31696319580078,78.44626978983739,77.09513794772177,77.90178317042805,14023712
5,2020-01-08,76.8531494140625,77.01447737738327,76.1674987319324,76.75231875318534,9451757
6,2020-01-09,77.82111358642578,78.00261094299806,77.09513510096231,77.41779098996545,7714854
7,2020-01-10,77.49845123291016,78.12359901711201,77.03462590934038,78.12359901711201,4118638
8,2020-01-13,78.56725311279297,78.64791981165531,77.35728545233134,77.59928007850611,27682638
9,2020-01-14,78.74876403808594,79.19241454714374,78.34544141500561,78.56726666953452,5994314
10,2020-01-15,78.3454360961914,78.97058393135981,77.80094949791513,78.80925598716276,7114590
11,2020-01-16,79.23273468017578,79.73688787488673,78.28492558003673,78.28492558003673,8552344
12,2020-01-17,79.61592102050781,79.79741295155627,78.10346090969979,79.03110092282971,4698386
13,2020-01-20,82.53998565673828,85.10108509882583,81.97533514653621,82.43915501311604,49337827
14,2020-01-21,80.90652465820312,82.39882034819097,80.2612129256367,82.1366617730343,17283910
15,2020-01-22,80.68470001220703,81.61233973722905,77.86144201555092,80.86619735729992,56787054
16,2020-01-23,81.45101165771484,83.64912185364315,78.20426715551382,79.35373757475695,226059260
17,2020-01-24,79.43438720703125,79.91837640879915,78.34541970867096,79.23272595136324,16151679
18,2020-01-27,77.8412857055664,79.23274542949738,77.55895769006058,79.21258148713825,8213919
19,2020-01-28,76.81279754638672,77.84127332175458,76.26831101476988,77.84127332175458,9174575
20,2020-01-29,77.59929656982422,78.1639471706228,76.32882588001067,76.8128152352171,17600091
21,2020-01-30,78.40592956542969,78.74875484912734,77.19596183737627,77.59928441339407,26386034
22,2020-01-31,75.36084747314453,78.8495924393688,74.65503290293479,78.76892572889392,63986362
23,2020-02-03,75.5625,76.2279811376561,71.56960770365102,72.96106726958423,16329297
24,2020-02-04,78.3857650756836,78.76892373512142,75.82466546309419,75.96582946764565,14207381
25,2020-02-05,76.36915588378906,78.9302556243109,75.82466925069967,78.28493833584989,14550344
26,2020-02-06,77.80095672607422,78.14378205835142,76.08683553510149,76.61115277005723,9175642
27,2020-02-07,76.79263305664062,77.76060606679025,76.04648525721268,77.76060606679025,18058457
28,2020-02-10,75.260009765625,77.07496134746515,74.51386191011932,76.91363341205074,30471811
29,2020-02-11,76.42964172363281,77.11529226552373,75.86499123229389,76.02631916261754,32456571
30,2020-02-12,76.36915588378906,77.39763185082751,76.04649997476514,76.65148390699487,16386952
31,2020-02-13,76.8531494140625,77.09514409425039,75.70367878598014,76.14733478792235,18581113
32,2020-02-14,74.251708984375,77.19596727910016,73.96938097309555,76.83297255876576,23830630
33,2020-02-17,74.05006408691406,74.93737620143862,72.81993205899123,74.61471476415053,17670292
34,2020-02-18,74.61470031738281,75.15918694267242,72.94091255627356,73.6467271337641,30879880
35,2020-02-19,75.62299346923828,75.80449080234233,73.80804201984624,75.01800965277427,22313738
36,2020-02-20,76.32881164550781,76.91363155145186,74.97768543248603,75.62299715853305,25907657
37,2020-02-24,75.05835723876953,76.30865845737493,74.63487067508031,76.22799174504691,14921452
38,2020-02-25,75.07852172851562,75.70366956161544,74.75586037077638,75.05835231654973,17807428
39,2020-02-26,74.95752716064453,75.98600313388556,74.19121526928132,74.61470183623085,17113656
40,2020-02-27,75.19950103759766,75.70365417810582,73.12239119278635,74.6550145517665,28472046
41,2020-02-28,73.20307159423828,74.73570082522112,72.25526234764851,73.98955288767542,28010970
42,2020-03-02,74.00971221923828,75.50200800135217,73.30389768155982,74.11054286747807,19540018
43,2020-03-03,77.31696319580078,78.5269310298602,73.4249010903256,74.1307156601936,16039306
44,2020-03-04,79.47473907470703,79.85789773794026,76.04649692936131,76.91363943674853,16939245
45,2020-03-05,79.0311050415039,80.48306791763089,78.46645433145854,79.07143840731024,9715265
46,2020-03-06,76.8733139038086,77.67995919655242,75.88517670244553,76.83298054508872,14371982
47,2020-03-09,72.98123931884766,76.0666559562034,71.77127158102873,74.57436569514094,69609292
48,2020-03-11,73.1627426147461,74.17104922028066,71.4889547436414,72.3964306886225,42604599
49,2020-03-12,66.9919204711914,71.75112632033574,66.44743371182304,71.06548098703973,58418097
